MG_Glut,K_Glut,DTT,MasterMixTube,Well
4.0,80.0,0.5,A1,C3
4.0,80.0,0.5,A1,C5
4.0,80.0,0.5,A1,C7
12.0,80.0,0.5,A2,C9
12.0,80.0,0.5,A2,C11
12.0,80.0,0.5,A2,C13
4.0,130.0,0.5,A3,C15
4.0,130.0,0.5,A3,C17
4.0,130.0,0.5,A3,C19
12.0,130.0,0.5,A4,E3
12.0,130.0,0.5,A4,E5
12.0,130.0,0.5,A4,E7
4.0,80.0,1.5,A5,E9
4.0,80.0,1.5,A5,E11
4.0,80.0,1.5,A5,E13
12.0,80.0,1.5,A6,E15
12.0,80.0,1.5,A6,E17
12.0,80.0,1.5,A6,E19
4.0,130.0,1.5,A7,G3
4.0,130.0,1.5,A7,G5
4.0,130.0,1.5,A7,G7
12.0,130.0,1.5,A8,G9
12.0,130.0,1.5,A8,G11
12.0,130.0,1.5,A8,G13
8.0,105.0,1.0,A9,G15
8.0,105.0,1.0,A9,G17
8.0,105.0,1.0,A9,G19
8.0,105.0,1.0,A10,I3
8.0,105.0,1.0,A10,I5
8.0,105.0,1.0,A10,I7
3.0,105.0,1.0,A11,I9
3.0,105.0,1.0,A11,I11
3.0,105.0,1.0,A11,I13
13.0,105.0,1.0,A12,I15
13.0,105.0,1.0,A12,I17
13.0,105.0,1.0,A12,I19
8.0,73.75,1.0,A13,K3
8.0,73.75,1.0,A13,K5
8.0,73.75,1.0,A13,K7
8.0,136.25,1.0,A14,K9
8.0,136.25,1.0,A14,K11
8.0,136.25,1.0,A14,K13
8.0,105.0,0.37,A15,K15
8.0,105.0,0.37,A15,K17
8.0,105.0,0.37,A15,K19
8.0,105.0,1.62,A16,M3
8.0,105.0,1.62,A16,M5
8.0,105.0,1.62,A16,M7
