,lysate_aspirate_height_inc,lysate_aspirate_rate,lysate_dispense_rate,substrates_aspirate_height_inc,substrates_aspirate_rate,substrates_dispense_rate
0,0.1,0.1,0.1,0.3,0.7,0.7
1,0.1,0.1,0.1,0.3,0.7,1.2
2,0.1,0.1,0.1,0.3,1.2,0.7
3,0.1,0.1,0.1,0.3,1.2,1.2
4,0.1,0.1,0.1,0.8,0.7,0.7
5,0.1,0.1,0.1,0.8,0.7,1.2
6,0.1,0.1,0.1,0.8,1.2,0.7
7,0.1,0.1,0.1,0.8,1.2,1.2
8,0.1,0.1,0.5,0.3,0.7,0.7
9,0.1,0.1,0.5,0.3,0.7,1.2
10,0.1,0.1,0.5,0.3,1.2,0.7
11,0.1,0.1,0.5,0.3,1.2,1.2
12,0.1,0.1,0.5,0.8,0.7,0.7
13,0.1,0.1,0.5,0.8,0.7,1.2
14,0.1,0.1,0.5,0.8,1.2,0.7
15,0.1,0.1,0.5,0.8,1.2,1.2
16,0.1,0.4,0.1,0.3,0.7,0.7
17,0.1,0.4,0.1,0.3,0.7,1.2
18,0.1,0.4,0.1,0.3,1.2,0.7
19,0.1,0.4,0.1,0.3,1.2,1.2
20,0.1,0.4,0.1,0.8,0.7,0.7
21,0.1,0.4,0.1,0.8,0.7,1.2
22,0.1,0.4,0.1,0.8,1.2,0.7
23,0.1,0.4,0.1,0.8,1.2,1.2
24,0.1,0.4,0.5,0.3,0.7,0.7
25,0.1,0.4,0.5,0.3,0.7,1.2
26,0.1,0.4,0.5,0.3,1.2,0.7
27,0.1,0.4,0.5,0.3,1.2,1.2
28,0.1,0.4,0.5,0.8,0.7,0.7
29,0.1,0.4,0.5,0.8,0.7,1.2
30,0.1,0.4,0.5,0.8,1.2,0.7
31,0.1,0.4,0.5,0.8,1.2,1.2
32,0.6,0.1,0.1,0.3,0.7,0.7
33,0.6,0.1,0.1,0.3,0.7,1.2
34,0.6,0.1,0.1,0.3,1.2,0.7
35,0.6,0.1,0.1,0.3,1.2,1.2
36,0.6,0.1,0.1,0.8,0.7,0.7
37,0.6,0.1,0.1,0.8,0.7,1.2
38,0.6,0.1,0.1,0.8,1.2,0.7
39,0.6,0.1,0.1,0.8,1.2,1.2
40,0.6,0.1,0.5,0.3,0.7,0.7
41,0.6,0.1,0.5,0.3,0.7,1.2
42,0.6,0.1,0.5,0.3,1.2,0.7
43,0.6,0.1,0.5,0.3,1.2,1.2
44,0.6,0.1,0.5,0.8,0.7,0.7
45,0.6,0.1,0.5,0.8,0.7,1.2
46,0.6,0.1,0.5,0.8,1.2,0.7
47,0.6,0.1,0.5,0.8,1.2,1.2
48,0.6,0.4,0.1,0.3,0.7,0.7
49,0.6,0.4,0.1,0.3,0.7,1.2
50,0.6,0.4,0.1,0.3,1.2,0.7
51,0.6,0.4,0.1,0.3,1.2,1.2
52,0.6,0.4,0.1,0.8,0.7,0.7
53,0.6,0.4,0.1,0.8,0.7,1.2
54,0.6,0.4,0.1,0.8,1.2,0.7
55,0.6,0.4,0.1,0.8,1.2,1.2
56,0.6,0.4,0.5,0.3,0.7,0.7
57,0.6,0.4,0.5,0.3,0.7,1.2
58,0.6,0.4,0.5,0.3,1.2,0.7
59,0.6,0.4,0.5,0.3,1.2,1.2
60,0.6,0.4,0.5,0.8,0.7,0.7
61,0.6,0.4,0.5,0.8,0.7,1.2
62,0.6,0.4,0.5,0.8,1.2,0.7
63,0.6,0.4,0.5,0.8,1.2,1.2
64,0.4,0.3,0.3,0.6,1.0,1.0
