Original_Order,MG_Glut,K_Glut,DTT,Well,Plate,AqueousMasterMixTube,ComponentsMasterMixTube
37,6.5,105.0,0.95,H10,1,A1,B4
26,6.5,105.0,0.95,F10,1,A1,B3
39,10.0,130.0,0.7,H14,1,A11,B4
23,6.5,60.28,0.95,F4,1,A8,B2
13,10.0,130.0,1.2,D6,1,A5,B2
44,3.0,130.0,1.2,J2,1,A12,B4
53,3.0,80.0,1.2,J20,1,C3,B5
11,6.5,149.72,0.95,D2,1,A4,B1
49,6.5,105.0,0.5,J12,1,C2,B5
48,6.5,105.0,0.5,J10,1,C2,B5
0,6.5,105.0,0.95,B2,1,A1,B1
5,12.76,105.0,0.95,B12,1,A2,B1
10,6.5,149.72,0.95,B22,1,A4,B1
21,6.5,60.28,0.95,D22,1,A8,B2
8,10.0,80.0,0.7,B18,1,A3,B1
12,10.0,130.0,1.2,D4,1,A5,B2
18,3.0,80.0,0.7,D16,1,A7,B2
51,3.0,80.0,1.2,J16,1,C3,B5
1,6.5,105.0,0.95,B4,1,A1,B1
6,10.0,80.0,0.7,B14,1,A3,B1
27,10.0,80.0,1.2,F12,1,A9,B3
35,6.5,105.0,0.95,H6,1,A1,B3
46,6.5,105.0,1.4,J6,1,C1,B4
29,10.0,80.0,1.2,F16,1,A9,B3
50,6.5,105.0,0.5,J14,1,C2,B5
24,6.5,105.0,0.95,F6,1,A1,B3
15,0.24,105.0,0.95,D10,1,A6,B2
30,3.0,130.0,0.7,F18,1,A10,B3
31,3.0,130.0,0.7,F20,1,A10,B3
7,10.0,80.0,0.7,B16,1,A3,B1
20,3.0,80.0,0.7,D20,1,A7,B2
52,3.0,80.0,1.2,J18,1,C3,B5
3,12.76,105.0,0.95,B8,1,A2,B1
4,12.76,105.0,0.95,B10,1,A2,B1
16,0.24,105.0,0.95,D12,1,A6,B2
40,10.0,130.0,0.7,H16,1,A11,B4
36,6.5,105.0,0.95,H8,1,A1,B4
14,10.0,130.0,1.2,D8,1,A5,B2
47,6.5,105.0,1.4,J8,1,C1,B4
25,6.5,105.0,0.95,F8,1,A1,B3
41,10.0,130.0,0.7,H18,1,A11,B4
43,3.0,130.0,1.2,H22,1,A12,B4
9,6.5,149.72,0.95,B20,1,A4,B1
32,3.0,130.0,0.7,F22,1,A10,B3
33,6.5,105.0,0.95,H2,1,A1,B3
22,6.5,60.28,0.95,F2,1,A8,B2
42,3.0,130.0,1.2,H20,1,A12,B4
19,3.0,80.0,0.7,D18,1,A7,B2
17,0.24,105.0,0.95,D14,1,A6,B2
38,6.5,105.0,0.95,H12,1,A1,B4
34,6.5,105.0,0.95,H4,1,A1,B3
28,10.0,80.0,1.2,F14,1,A9,B3
2,6.5,105.0,0.95,B6,1,A1,B1
45,6.5,105.0,1.4,J4,1,C1,B4
