"","run.order","std.order","MG_Glut","K_Glut","TCEP","tRNA"
"1",1,4,12,130,0.5,2
"2",2,5,8,105,0.37,3
"3",3,5,4,80,1.5,2
"4",4,2,12,80,0.5,2
"5",5,1,3,105,1,3
"6",6,7,4,130,1.5,2
"7",7,18,8,105,1,3
"8",8,8,12,130,1.5,2
"9",9,14,12,80,1.5,4
"10",10,3,8,73.75,1,3
"11",11,2,13,105,1,3
"12",12,15,4,130,1.5,4
"13",13,17,8,105,1,3
"14",14,10,12,80,0.5,4
"15",15,10,8,105,1,3
"16",16,9,8,105,1,3
"17",17,11,4,130,0.5,4
"18",18,6,12,80,1.5,2
"19",19,1,4,80,0.5,2
"20",20,3,4,130,0.5,2
"21",21,13,4,80,1.5,4
"22",22,12,12,130,0.5,4
"23",23,6,8,105,1.62,3
"24",24,8,8,105,1,4.25
"25",25,9,4,80,0.5,4
"26",26,16,12,130,1.5,4
"27",27,4,8,136.25,1,3
"28",28,7,8,105,1,1.75
