MG_Acetate,K_Glut,TCEP,Experiments,Tubes
5.333333333333333,106.66666666666666,0.6666666666666666,1,['A1']
20.0,106.66666666666666,0.6666666666666666,1,['A2']
5.333333333333333,200.0,0.6666666666666666,1,['A3']
20.0,200.0,0.6666666666666666,1,['A4']
5.333333333333333,106.66666666666666,2.6666666666666665,1,['A5']
20.0,106.66666666666666,2.6666666666666665,1,['A6']
5.333333333333333,200.0,2.6666666666666665,1,['A7']
20.0,200.0,2.6666666666666665,1,['A8']
12.666666666666666,153.33333333333331,1.6666666666666665,4,['A9']
3.5066666666666664,153.33333333333331,1.6666666666666665,1,['A10']
21.839999999999996,153.33333333333331,1.6666666666666665,1,['A11']
12.666666666666666,95.0,1.6666666666666665,1,['A12']
12.666666666666666,211.66666666666666,1.6666666666666665,1,['C1']
12.666666666666666,153.33333333333331,0.41333333333333333,1,['C2']
12.666666666666666,153.33333333333331,2.92,1,['C3']
